location,year,deaths,incidence,region,"medical doctors per 10,000","nurses and midwifes per 10,000","pharmacists per 10,000","dentists per 10,000",composite_score,rank
Thailand,1993,0.8696553201273498,0.048715352393647215,South-East Asia,0.004862630683199601,0.03488289818156089,0.044085231447465095,0.01798063623789765,0.16567480122841735,26.0
Sweden,1994,0.428482559130023,0.606812678998081,Europe,0.8335497273435473,1.0,0.45782263878875273,0.9999999999999999,0.7453113155180184,1.0
Iceland,1994,0.7868493304909545,0.597622939924443,Europe,0.6619059984419632,0.9150969529085873,0.6899783705839944,0.6723891273247496,0.7345478358993858,2.0
Finland,1994,0.528492545743797,0.6127794234877941,Europe,0.7353414697481174,0.8861495844875346,1.0,0.586552217453505,0.733181449857018,3.0
Azerbaijan,1994,0.6092755773555245,1.0,Europe,0.8678265385614128,0.7115650969529086,0.40807498197548675,0.17024320457796852,0.6365612474407749,4.0
Spain,1994,0.6097771665867442,0.644495560798064,Europe,0.9802648662685017,0.2661357340720221,0.7123287671232877,0.17596566523605148,0.5759880840425761,5.0
Denmark,1994,0.31640556441163836,0.6181938047150071,Europe,0.9506621656712543,0.5921052631578947,0.2689257390050469,0.5500715307582261,0.5758193289728119,6.0
Kazakhstan,1994,0.47304034579540133,0.8314200664833038,Europe,0.8119968839262529,0.6092105263157895,0.452054794520548,0.223175965665236,0.5754611345791567,7.0
Republic of Moldova,1994,0.3252688395507404,0.6650597805703014,Europe,0.7917424045702417,0.7195983379501385,0.4599855803893296,0.24892703862660942,0.5554519784472122,8.0
Australia,1994,0.7573053563238885,0.42153529756423924,Western Pacific,0.5138924954557258,0.7665512465373961,0.41095890410958913,0.24964234620886977,0.5447290204739785,9.0
Lithuania,1994,0.2331766766182095,0.6385526593621309,Europe,0.843676967021553,0.6300554016620499,0.3568853640951695,0.2939914163090128,0.5219517137972317,10.0
Ireland,1994,0.6138630772990712,0.5698811561194788,Europe,0.39989613087509746,0.7696675900277008,0.45133381398702244,0.23605150214592274,0.5144137275539785,11.0
Czechia,1994,0.3583993297425958,0.9373651322396321,Europe,0.6465853025188263,0.5106648199445983,0.22782984859408797,0.3640915593705293,0.4984697686738501,12.0
New Zealand,1994,0.7111127353528637,0.1902264780035281,Western Pacific,0.3991171124383277,0.6374653739612189,0.6827685652487384,0.19742489270386265,0.4904479010510137,13.0
Slovenia,1994,0.5085859231406216,0.9231445328981358,Europe,0.4531290573876916,0.3884349030470914,0.3374188896899784,0.3183118741058655,0.4629222540107765,14.0
Austria,1994,0.4595368374278965,0.4871750063938969,Europe,0.7688911970916645,0.31509695290858725,0.34679163662581114,0.23390557939914158,0.4527770627091803,15.0
Poland,1994,0.48498656217229796,0.8657807510733941,Europe,0.4783173201765776,0.3948753462603878,0.33453496755587603,0.26466380543633755,0.45139554115495495,16.0
Bulgaria,1994,0.02770475149331708,0.923289433438965,Europe,0.7509737730459622,0.4473684210526316,0.1607786589762077,0.40915593705293274,0.4473527282075044,17.0
Albania,1994,0.9778846561883979,0.8032626104646237,Europe,0.2202025447935601,0.3176592797783933,0.2696467195385725,0.2210300429184549,0.4403711655331505,18.0
Belarus,1994,0.2627793738514408,0.6875492059488499,Europe,0.6598286159439107,0.48476454293628807,0.23287671232876717,0.1931330472103004,0.4284501315580042,19.0
Croatia,1994,0.41701439843366916,0.9520144744917696,Europe,0.41781355492079986,0.2868421052631579,0.24729632299927906,0.334763948497854,0.410898563976958,20.0
Hungary,1994,0.09030897864696974,0.9300608165616038,Europe,0.6624253440664762,0.3693213296398892,0.2134102379235761,0.18955650929899853,0.3978159523538353,21.0
Tajikistan,1994,0.6502060359598651,0.7857533602888962,Europe,0.4476759283303039,0.34736842105263155,0.007209805335255951,0.05221745350500715,0.3769930692100766,22.0
Cyprus,1994,0.6659766091849755,0.5640354058785297,Europe,0.3539340431056869,0.19778393351800558,0.0713770728190339,0.3848354792560801,0.36249280977661125,23.0
Russian Federation,1994,0.0,0.5517909527497593,Europe,1.0,0.0,0.005046863734679163,0.13590844062947063,0.3041128394045467,24.0
Turkey,1994,0.8282395250735806,0.33694800677752723,Europe,0.16904700077901846,0.08033240997229917,0.20331651045421778,0.07510729613733905,0.2734481208440446,25.0
Malaysia,1994,1.0,0.5229193470277493,Western Pacific,0.0,0.08718836565096953,0.03749098774333094,0.0,0.251739164802759,26.0
Ecuador,1994,0.9584155550329299,2.220446049250313e-16,Americas,0.21007530511555444,0.08614958448753461,0.0,0.04864091559370529,0.23790703905439134,27.0
Iceland,1995,0.7320704312839292,0.631841433723165,Europe,0.4748142031379025,0.9445061865599764,0.7573582196697775,0.9316479400749064,0.7895530924164142,1.0
Finland,1995,0.5163005328207211,0.6497719350098448,Europe,0.3372419488026424,1.0,1.0,0.8595505617977529,0.7890733828898725,2.0
Israel,1995,0.8155901595355306,0.5145271584079716,Europe,0.5871180842279108,0.5740534933688969,0.36252692031586503,1.0000000000000002,0.6593785060841744,3.0
Sweden,1995,0.4306350316698928,0.6499311386842039,Europe,0.44062758051197354,0.7143068830110395,0.45513280689160085,0.7968164794007491,0.6175724489939338,4.0
Denmark,1995,0.32502444936279384,0.6521474917099528,Europe,0.6754748142031379,0.6367340890568275,0.2613065326633166,0.7865168539325842,0.5880961068438775,5.0
Azerbaijan,1995,0.6362186692300311,1.0,Europe,0.6004954582989266,0.7314217974364674,0.38765254845656855,0.28932584269662925,0.5642827083864996,6.0
Ireland,1995,0.5931409270041768,0.6163815772030663,Europe,0.32138728323699417,0.8547825442690969,0.4558506819813352,0.39325842696629215,0.5482531930133979,7.0
Australia,1995,0.7361674426396154,0.48866547790046755,Western Pacific,0.3823286540049545,0.7726161369193155,0.3969849246231156,0.41573033707865176,0.5324925131824768,8.0
Lithuania,1995,0.26735418775470965,0.6761834704149774,Europe,0.5841453344343518,0.6737793583759354,0.3955491744436468,0.4269662921348315,0.5164908667579214,9.0
Czechia,1995,0.358340170063425,0.9363180053094209,Europe,0.4710156895127993,0.559679928873083,0.23330940416367552,0.5543071161048689,0.5090544388313101,10.0
New Zealand,1995,0.6860734820848942,0.2913227023140197,Western Pacific,0.3137902559867877,0.6940060754241684,0.6611629576453697,0.3295880149812735,0.5026942886601283,11.0
